Syear,Smonth,Sday,Shour,Smin,Eyear,Emongh,Eday,Ehour,Emin,Sensor,VIG,NIT,2014,2018,Perpendicular,Parallel,Good,Bad,Pre Allignment,Post Allignment,Smooth,Rough,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Land,Water
2022,1,31,16,57,2022,3,21,15,30,2,,1,,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
2022,2,27,15,25,2022,3,16,9,10,0,1,,,1,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,
2022,2,27,15,25,2022,3,16,9,10,0,1,,,1,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
2022,3,16,9,15,2022,3,21,12,45,4,1,,,1,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
2022,3,16,9,15,2022,3,21,12,45,3,1,,,1,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
2022,3,21,12,45,2022,3,28,11,45,4,1,,,1,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
2022,3,21,15,30,2022,3,28,17,7,1,,1,,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
2022,3,21,15,30,2022,3,28,17,7,2,,1,,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
2022,3,28,11,50,2022,3,28,17,7,4,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
2022,3,28,11,50,2022,3,28,17,7,3,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
